,rating,title,comment,date,country
488,5.0,Calculator,The product arrived quickly. It is in excellent condition. I am very happy with this purchase.,"August 9, 2022",the United States
489,5.0,Great Product,The TI-30X IIS 2 is a great product. I didnt need anything crazy expensive I just needed something to help me out in my College Algebra class and this has done the job. I would recommend it to anyone that is in need of a good scientific calculator but on a tight budget.,"January 25, 2011",the United States
490,5.0,Works as advertised,My granddaughter - a junior in high school - just loved the white color.  The instrument itself worked as advertised.,"September 6, 2018",the United States
491,5.0,Great calculator for great price.,Simple calculator that serves its purpose.  Bought for my MBA program for when I needed simple math (non excel) but wanted more than the iPhone calculator.  Works great and is durable as I have dropped it several times.  Great price.,"October 8, 2014",the United States
492,5.0,I would recommend getting a different model,"I use it for chemistry classes in college, the calculator itself works well but is limited in functions for a scientific calculator. I would recommend getting a different model.","July 26, 2017",the United States
493,5.0,Good Lower Level Calculator.,"Great calculator for students who are sill taking classes or standardized exams that forbid graphical calculators, but do allow intermediate calculators for checking work, using basic trig functions, etc.","March 16, 2016",the United States
494,5.0,My daughter loves this!,"At the end of the day it's the same as all the other scientific calculators but, my daughter is the only one in her school with a pink one!! She loves it and so do the other girls in her class!! I don't usually do this, but I went for style!!","October 28, 2013",the United States
495,5.0,perfect!,exactly what i needed,"April 4, 2020",the United States
496,5.0,Great price for everything you need in high school,"My daughter had to have a scientific calculator for her math class.  I've always used Texas Instruments, and, as expected, this product is high quality and easy to use.  The slide off case is handy when it needs to be protected during transport.","July 2, 2013",the United States
497,5.0,Easy to find and just what we needed,Our kids needed this for math - the.price was almost half if that the major retailers offered plus it came in different colors!,"September 6, 2019",the United States
498,5.0,What every student needs,I bought this for my daughter and I ended up using it after she chose one of the others.It is very light and portable and very functional.  It is recommended for use by anyonewho is doing business or for school.  It works well.,"June 7, 2014",the United States
499,5.0,So very pleased,"This TI scientific calculator was easy to use instantly.  Clearly written and thorough instructions that made it simple to operate.  I haven't had use for all of the functions, and probably never will, but for high school and college, this will do very nicely.","April 26, 2011",the United States
500,5.0,Works great,I bought it for my daughter to do her math homework and it’s been great helps to her,"April 22, 2022",the United States
501,5.0,and have one ti-89 titanium 'pinky' and the 89 are the best. pinky is my go to take everywhere everyday ...,"It's probably just me but I've had 2--ti-89, one ti-84, and have one ti-89 titanium'pinky' and the 89 are the best. pinky is my go to take everywhere everyday and the 89 for certain classes and problems ( I prefer matlab though)","November 5, 2014",the United States
502,5.0,Great Price....Delivered On Time,Got for my son for advanced math.  The instructor did not want them using their TI - 89 so he recommended this one.  Great price and was received in just a few days.  Don't spend your time going to the stores...just get this one!,"November 10, 2014",the United States
503,5.0,"Durable, plenty of features, great price","My son has used one of these for two years in middle school. It's survived everything he could throw at it, including life in the bottom of an overfilled backpack, and it still works fine. For the money, I'm not sure how you could do better.","September 11, 2013",the United States
504,5.0,Good,Good calculator,"March 17, 2020",the United States
505,5.0,Great price. Great product,Great little product. It does its job.,"June 20, 2021",the United States
506,5.0,Great calculator,My daughter needed it for school. It works great and has been very durable for a middle schooler.,"December 29, 2018",the United States
507,5.0,Colorful,I bought this calculator for my daughter. She enjoyed having a calculator that fits the parameters of her school requirements but with a girly twist in being pink. Works as needed.,"August 13, 2018",the United States
508,5.0,Easy to use for 7th Graders!,I'm in seventh grade and this calculator has opened me to a whole new world of math! Thanks Texas Instruments!,"April 2, 2022",the United States
509,5.0,Great little calculator,"Great little calculator. Wish the surface points were more evenly distributed so it wouldn’t move as I single-hand type on it, but it’s a simple gripe.","January 4, 2018",the United States
510,5.0,calculator,needed a calculator. does what a calculator does.,"May 15, 2020",the United States
511,5.0,great calculator,I needed this calculator for my math class in college. This calculator was actually recommended by my math teacher and he said to get it through Amazon.  It does what I need it to do and it has not let me down. Its great for my finance class.,"July 2, 2014",the United States
512,5.0,Perfect,Just what I needed for school!,"December 27, 2019",the United States
513,5.0,Non-graphing calculator. Pretty color!,Perfect for my stat class,"September 5, 2020",the United States
514,5.0,Perfect for pre-HS AP students,"Purchased for my daughter (12yr old) was recommended by all her teachers at Basis Schools, less expensive than the higher up models and more likely to be used through AP program pre-HS students","June 19, 2016",the United States
515,5.0,Wotks,Works,"May 30, 2020",the United States
516,5.0,Great Educational Tool,It was purchase for a friend's child. They stated product works as prescribed.,"January 11, 2020",the United States
517,5.0,Had a graphing calculator,"This one stores values and runs well. The buttons can be sticky but once you get used to it, it is fine. I don't see the point in buying anything else because graphing calculators are not allowed on many exams nor in many classes.","June 6, 2014",the United States
518,5.0,Good product,I used this for my chemistry class and it worked great!,"August 25, 2019",the United States
519,5.0,All the functions I need at home.,Very good.  It is my second one.  I let my son take the last one to school and he lots it.,"January 17, 2019",the United States
520,5.0,Great for learning Algebra,This is great for middle school students who are learning PreAlgebra for High School and it only less than $15 or 3 Quarter pounders.  It will teach him logic and how to use the proper math sequence for algebra.,"August 19, 2015",the United States
521,5.0,To Infinity and beyond...,Gotta take that ACT... get the best aid that is APPROVED...  this is it..  Best calculator of it's kind out there.. will get you through Highschool and college.. on and adulthood too.,"August 26, 2016",the United States
522,5.0,.,Got for hubby.  Says he likes it.,"November 20, 2019",the United States
523,5.0,Perfect,Perfect for 6th grade students,"January 12, 2020",the United States
524,5.0,Texas Instruments Great Brand,Great calculator,"June 17, 2020",the United States
525,5.0,Good for middle school,"Has all the functions my kids have needed so far. I still use my old HP engineering calculator over this, though.","June 19, 2018",the United States
526,5.0,Good calculator.,Completes math functions as intended.,"December 10, 2019",the United States
527,5.0,Very good,Excellent for high schoolers,"January 11, 2020",the United States
528,5.0,TI has been around for quite some time .Trusted !,"Proceeding to put this tool to the test,as I believe this TI-30x IIS is going to assist me in getting something I didnt' get 47 years ago. A high school diploma ! WISH ME LUCK ,please ?","October 4, 2018",the United States
529,5.0,Works great,Calculator arrived fast and ahead of schedule. My daughter says its great in doing school and homework. Seems solid since she has dropped it several times. Plus the occasional bookbag throw lol. It still looks and works like new.,"April 29, 2014",the United States
530,5.0,GOOD,GOOD,"March 13, 2021",the United States
531,5.0,Teacher recommended,Bought based on teacher recommendation during middle school orientation.  She said students and teachers like it because it shows fractions in vertical format.  Will use at home.,"May 17, 2017",the United States
532,5.0,"I wish the screen was a little brighter, but ...","I wish the screen was a little brighter, but the fact that it converts decimal to fraction for me is a huge time saver on my math exams! I paid $13 for it. Well worth the money.","October 3, 2016",the United States
533,5.0,Works,Bought for college math class. The calculator does exactly what it it is advertised to do.,"August 5, 2020",the United States
534,5.0,"Yes, is good, do get.","Product came exactly as described, works great, perfect for my general chemistry courses in college that require a more basic calculator, but this can still perform a good deal of functions out of the four main operators!","July 13, 2016",the United States
535,5.0,Great Little Calculator.,"I needed a scientific calculator for my math midterms. This one's great. Has all the functions I need and isn't too pricey. In terms of color, I would have preferred a different color, but the pink was cheapest. It's nice just to have around.","March 3, 2014",the United States
536,5.0,Great item for a great price with great quality,Great item for a great price with great quality,"February 24, 2020",the United States
537,5.0,Exactly what we needed,Easy to use. Good quality.,"December 29, 2019",the United States
538,5.0,Perfect,Daughter likes it,"March 8, 2020",the United States
539,5.0,Decent calculator,Overall easy to use Calculator but sometimes when you press the buttons it doesn’t record the number so you always have to clear it and start over.,"March 5, 2020",the United States
540,5.0,Great calculator for college!,"Needed this for my math, biology and chemistry courses, easy to read and use, doesn’t break easy, and has a little solar panel for energy.","February 10, 2019",the United States
541,5.0,Better than it was when I had mine in middle school,I got this expecting the buttons to stick like mine did 19 years ago when I got mine for middle school. 😂 I was a little disappointed when they didn't. These calculators are such good quality now. The screen is really clear and easy to read and the buttons are easy to read. Even the secondary symbols are easy to read. I'd definitely recommend this.,"September 4, 2016",the United States
542,5.0,Works great!!,"Just as described. Fast shipping. My son was in need of this and he worked through it with no problems at all. Tried to find one at local stores without breaking my pockets.  No such luck, so thank you very much. Works great!!!","October 10, 2014",the United States
543,5.0,Love the color,"My daughter needed a replacement for Algebra, she loves the color and it works great!","January 10, 2019",the United States
544,5.0,Good value,Good inexpensive calculator for middle school,"September 16, 2019",the United States
545,5.0,Great calculator,Great calculator! Just what my son needed for his math class. I’m sure he’ll get lots of use out of it.,"September 10, 2018",the United States
546,5.0,Great Pink color,Daughter loved the color and price is grest,"September 28, 2019",the United States
547,5.0,"Easy to Use, Does the Job",Has worked perfectly for my College Algebra class.,"July 20, 2021",the United States
548,5.0,Classic calculator,"This is my go to calculator. Smaller and sometimes more convenient than a graphing calculator. Allowed for use in exams in advanced math and science classes. Reliable, never needs a battery replacement.Check the listing to ensure it comes with a slide on case. Or maybe you dont care...","February 10, 2014",the United States
549,5.0,Was exactly what school supply list called for,Give it a 10,"July 17, 2020",the United States
550,5.0,Worked great,Worked great,"August 12, 2020",the United States
551,5.0,Easy to use,However its over priced,"December 10, 2019",the United States
552,5.0,Has a cover,"Needed for middle school-er. It DOES  have a matching COVER that comes with it, although it is not pictured here.  I was very glad to discover that when we received it.","August 23, 2017",the United States
553,5.0,A good product,Good,"January 7, 2021",the United States
554,5.0,Love the deal on a good calculator,"The calculator is just what I expect.....yes, the color is pink, and maybe the reason for the low price...but the whole transaction was fantastic, and I ended up with a great calculator at a fantastic price!","April 26, 2015",the United States
555,5.0,It’s fine,It’s fine,"March 10, 2020",the United States
556,5.0,Packaged well,Love the color for my daughter that needs it for 5th grade math she lives that it is pinkPackaged well,"July 16, 2018",the United States
557,5.0,Good scientific calculator,"This is my favorite of the basic scientific calculators.  For less than $15, you can't beat it.  Obviously it isn't going to have as many function as a TI89, but it still has a surpassingly large amount for the price, even basic stats functions.","February 16, 2011",the United States
558,5.0,If you need it won't regret purchase,Price quality and ease of use  All perfect,"January 2, 2020",the United States
559,5.0,"Exactly what I needed, great price",Amazon Warehouse deal strikes again!  Got this required calculator for my son (6th grade) for less than any of the retail stores.  It wasn't in retail packaging (in my case) but works perfectly.,"October 5, 2016",the United States
560,5.0,Great for exams,"Easy to use, attractive and effective. I recommend.","June 18, 2019",the United States
561,5.0,Good product,Got it for my son for school and works perfectly,"November 27, 2019",the United States
562,5.0,Calculator,Bought it for my girlfriend to use in school for college she loves it uses it everyday,"October 30, 2019",the United States
563,5.0,"So good, I've owned two of these",Great Calculator. Solar powered so there is never a need for batteries. Used this for College Chem class &amp; to take the FE exam. One of the allowable calculators when you cannot use a graphing calculator.,"December 16, 2015",the United States
564,5.0,Great calculator,Perfect for school. Easy to use.,"February 9, 2020",the United States
565,5.0,works fine,works as expected.  No problems,"June 30, 2021",the United States
566,5.0,GREAT CALCULATOR,My wife bought this for a college class that required it. She says it worked perfectly and was a real time saver,"April 17, 2018",the United States
567,5.0,Perfect pocket calculator for use in the field,Perfect pocket calculator for use in the field. The pink color ensures that you can find it easily if you drop it outside.,"March 26, 2018",the United States
568,5.0,Calculator,Love it,"March 24, 2020",the United States
569,5.0,Good call for middle schooler.,TI calms built well. Exactly what school required and couple bucks less than local stores.,"November 4, 2018",the United States
570,5.0,Excellent product,Still working like a charm 3 years later. Excellent product,"May 25, 2019",the United States
571,5.0,easy to use!,my daughter loves this calculator.,"November 15, 2019",the United States
572,5.0,Awesome,Perfect for my kids classes,"November 5, 2019",the United States
573,5.0,Excellent scientific calculator for small amount of money.,"My girlfriend bought this for her college algebra class MAT095.  She has had no issues with it and says it is very simple to understand and operate.  She is very glad she didn't have to get a scientific calculator that graphs, as those are too complicated for her.","September 14, 2014",the United States
574,5.0,Great price for a 7th grade student,Great price for a 7th grade student,"September 14, 2019",the United States
575,5.0,Exactly as I remembered it from 8th grade,"I needed this calculator for a grad school-level course, and I ordered the same calculator I used in 8th grade for Algebra. Works just as great as it did way back then :)","September 25, 2016",the United States
576,5.0,Great,Works great my son us it at school,"September 9, 2019",the United States
577,5.0,Works,Good product,"January 1, 2020",the United States
578,5.0,Easy to use,"Easy to use and pretty simple to learn. More advanced math may take a few more mixtures with parenthesis and learning certain buttons, but I would recommend this, especially for a great price.","December 21, 2020",the United States
579,5.0,It is most likely the calculator that your middle school math teacher wants.,"Son needed this for math class, it seems to work perfectly for what he needed it for. He said it was easy to use and he enjoys using it.","February 13, 2020",the United States
580,5.0,"Good, Simple Calculator","This calculator was perfect for what I was needing. If you need a non graphing calculator, I would highly recommend getting this type. They're easy to work and come in great condition!","March 17, 2016",the United States
581,5.0,Very Happy!,Great price for a mega-function solar calculator! Have only scratched the surface of functions. Hopefully it will hold up through middle school and high school. It comes with a protective cover that should help.,"October 21, 2014",the United States
582,5.0,good calculator,good calculator use it for school,"October 6, 2019",the United States
583,5.0,Great for my kids,My kids needed a calculator for school that had to have all these buttons for algebra.  After checking out a bunch of calculator this had to be the best one for them.  It is very easy for them to work it and has all the buttons they need.Great product.,"April 15, 2014",the United States
584,5.0,LadyDi,Really user friendly.,"December 27, 2019",the United States
585,5.0,This was the calculator needed for my math class,I was not allowed to have a graphing calculator on my math tests so I had to get a cheap scientific calculator to use.  This fit the bill.  Would buy again because it's well worth the cost for the capable unit you receive.,"October 6, 2013",the United States
586,5.0,Good find,Works well,"May 2, 2020",the United States
587,5.0,Student Recommended,Math whiz son uses it all the time and it has never let him down. It now lives in his college backpack.,"July 25, 2018",the United States
588,5.0,very good calculator,"Same as the one I've had for many years.  2-variable stats, You can see your equation to correct typos.  edit function for multiple uses of the same equation (I use that all the time!).  Lon lasting","June 30, 2015",the United States
589,5.0,This was purchased for school. Our son has no ...,"This was purchased for school. Our son has no complaints! functions all work with ease, and he had no problems keeping up in class.","January 23, 2018",the United States
590,5.0,Love it,Good,"May 23, 2022",the United States
591,5.0,Easy to use,This is the greatest calculator for a good price.,"November 17, 2019",the United States
592,5.0,Cute!,Perfect for my physics class. Exactly as advertised. Easy to use. And I get a lot of compliments in class because it's cute and pink!,"October 10, 2017",the United States
593,5.0,Works well,Just what the kid needed. Works well,"September 13, 2019",the United States
594,5.0,Good buy,Very good and holds a charge.,"October 20, 2019",the United States
595,5.0,Perfect,Exactly what my daughter needed for school.,"October 11, 2019",the United States
596,5.0,Easy to use..,My daughter loves it..,"November 25, 2019",the United States
597,5.0,Great!,Great Calculator! No doubt!,"November 2, 2019",the United States
598,5.0,Great Raspberry Color!,Such a great color! Makes math so much better!,"November 18, 2021",the United States
599,5.0,compact calculator! just what i need !,i like how its very lightweight and compact! great for the price as well! i dont need to buy those heavy scientific calculators... this is just worth my money,"August 13, 2018",the United States
600,5.0,thanks,works fine,"January 30, 2020",the United States
601,5.0,Get!,Daughter had to have this. Likes it!,"September 4, 2019",the United States
602,5.0,We need more hot pink scientific instruments in the world,I LOVE this hot pink solar-powered calculator. I can show off my nerdy environmentally-consicous girlie side when I use this. Plus I hear your allowed to use it for the actuarial exams &lt;3,"August 7, 2015",the United States
603,5.0,Gets the job done and looks different,"I neede one for my algebra classes in the University, great buy, good value, would buy again!","October 26, 2018",the United States
604,5.0,just like the one my daughter uses in school,"a great home calculator, makes homework less arduous.","May 20, 2019",the United States
605,5.0,good value. since it seem like I have to ...,"good value. since it seem like I have to buy several of these a year due to my kids losing them/getting stolen/whatever, I like that it's a good price point. Thanks for that!","March 1, 2017",the United States
606,5.0,Great Item,Great item.  Perfect for my 9th grader for her math class.  Very happy with item.,"December 20, 2018",the United States
607,5.0,Pretty pink calculations,"Durable,  strong and perfect for middle school math classes. Easy to use.","January 23, 2019",the United States
608,5.0,Easy to use,Helps me with homework and ready to use,"February 26, 2020",the United States
609,5.0,Cute and Affordable,This calculator is excellent. A vibrant pink with accents of yellow and a deeper pink. Perfect for my finite math class.,"February 8, 2019",the United States
610,5.0,Amazing,It was helpful,"January 27, 2020",the United States
611,5.0,Calculator,Purchased for my teenage daughter.  She likes it and works great.,"January 13, 2019",the United States
612,5.0,Great Calculator for a great price,This is exactly what we needed for school. Great calculator. Works perfectly.,"November 30, 2018",the United States
613,5.0,Great products,Works great,"December 21, 2019",the United States
614,5.0,... my daughter and she says it works just as great as the $100+ calculators,I bought this calculator for my daughter and she says it works just as great as the $100+ calculators. Highly recommend this item.,"September 22, 2017",the United States
615,5.0,"I can see the function symbols on this one, ...","I can see the function symbols on this one, where the TI 36x PRO I purchased the glare of light on the function buttons prevents seeing these, unless the light is just right.","April 21, 2016",the United States
616,5.0,calculator,"needed this calculator for a class, good quality will work fine","January 16, 2019",the United States
617,5.0,It has the basic functions necessary for my Chen class and is easy to utilize,"Product was exactly what I had expected it to be. It has the basic functions necessary for my Chen class and is easy to utilize, just like all other calculators from this brand","October 2, 2016",the United States
618,5.0,Good thanks,Nice and easy,"December 22, 2019",the United States
619,5.0,Good for general chemistry work,Nice calculator for the price. Does what I want it to do for math in chemistry.,"May 15, 2022",the United States
620,5.0,Good Cheap Calculator,Check this one out before you buy an expensive one. It might just do the job for you. I believe these are allowed in the ACT tests.,"September 1, 2017",the United States
621,5.0,Works good,Works as expected,"October 27, 2019",the United States
622,5.0,Works great! Even better price!,"Amazon is totally my school supply go to place. They may not have the colors I want, but they ALWAYS have the price! 3rd calculator I've ordered here. Just like what you buy at the store (and usually less expensive)","September 25, 2013",the United States
623,5.0,... not find it in stores so it was just easy to order here,Could not find it in stores so it was just easy to order here. Its the required model the school wanted and works just fine.,"November 6, 2017",the United States
624,5.0,Very nice!,Easy to use! Definitely worth the bucks!,"September 26, 2019",the United States
625,5.0,Great value,Bought it for my daughter. She loves it.,"December 30, 2019",the United States
626,5.0,Purchased for our daughter to sit her ACT. Note ...,"Purchased for our daughter to sit her ACT.Note, ACT and SAT have specific calculator requirements and this one was validated to be on the allowed list.","November 14, 2016",the United States
627,5.0,Great calculator,"Arrived quickly! My son has been playing with it since he got it and hasn't even brought it to school yet!  It's a nice size, not too big or small.  The protective cover is a nice bonus!","September 8, 2015",the United States
628,5.0,Great for solution for a no graphing calculator!,My eighth graders has been using it and loves it!The insert/delete of the previous entered formulas saves a lot of time too.,"October 25, 2018",the United States
629,5.0,It works it’s pink- yea!,"Took forever to get here, wish it was purple - but it works","March 7, 2019",the United States
630,5.0,Love It,"My daughter who has 3 older brothers needed this calculator for school. All the stores were out and she did not want to use the same one her brother's used.  She loves the pink one, she is the only one in the class who has a color calculator.  She can keep track of it and get her homework done.  Thank you a must use company.","October 17, 2013",the United States
631,5.0,Good,Great calculator,"February 2, 2020",the United States
632,5.0,Ok,It does what I need it to do,"October 14, 2019",the United States
633,5.0,Light issues?,It's a good calculator but sometimes I cannot see the screen in the light.,"November 2, 2019",the United States
634,5.0,Durable and very useful,"I bought this calculator from the seller ""WarrenTronics"" and the delivery was on time and everything went well. As for the calculator itself, I got it second-hand and it has lasted for 3 years so far. And it looks like it will last for many more years to come!","January 26, 2019",the United States
635,5.0,Excellent,"A great alternative to the $185 graphing calculators the school usually has us buy! So glad this was on the list this year, looks great, less confusing and solar powered!","August 19, 2016",the United States
636,5.0,Great calculator. Has every function I need for all ...,"Great calculator. Has every function I need for all of my classes, and was approved for exams. TI never seems to fail when you need something good.","January 30, 2017",the United States
637,5.0,Does the job,Does the job,"October 31, 2019",the United States
638,5.0,Is really great for my calculus class,Is really great for my calculus class. My teacher won't allow us to use graphing calculators but this model with 2 lines is a step up from the 1 line version of the TI 30.,"March 18, 2016",the United States
639,5.0,Great price!,Great price for algebra student!,"August 5, 2019",the United States
640,5.0,It's a scientific calculator.,"I was just a regular student until I bought this little gem, now I am a scientist!  On a more serious note, this is the calculator you need if you are taking mat109 in college.  (that's your basic algebra class)","August 29, 2013",the United States
641,5.0,Calculator,Perfect for my granddaughter for school,"June 19, 2019",the United States
642,5.0,TI Calculators are the BEST,This is the second scientific calculator I've bought from TI (not to mention a graphics and financial calculator).  I love how this has two lines on it and you can scroll up and down.  It continues to work great!,"April 25, 2013",the United States
643,5.0,"Quality product, great for kids advancing in Math","Great product for my son to visit use as he is advancing in Math.  Solidly built, easy to use.","February 21, 2019",the United States
644,5.0,Great calculator for the price,What a life saver when taking a Physics course.  Helped me get all of my calculations correct.,"June 1, 2018",the United States
645,5.0,Great,Exactly as described,"October 8, 2019",the United States
646,5.0,Calculator for Math 143,"Many colors are available in this product, Easy to use, Brought with a protective cover/case","October 13, 2021",the United States
647,5.0,Great calculator!,"Great calculator!!.  It was simple to use, inexpensive and had everything I needed for my statistics class.  The only thing it was lacking was it needed someone to show me how it works.","November 16, 2015",the United States
648,5.0,It's a good buy,Works great great price,"September 30, 2019",the United States
649,5.0,"Can you 'Love"" an calculator?","I don't really 'love it', but it does complicated math and is distinctive enough I can catch those hobos that try and take my calculator.  Thus far, nothing has fallen off, worn away or cracked.  Yay?","June 25, 2014",the United States
650,5.0,Works great,Works great,"November 10, 2020",the United States
651,5.0,Good for math class,Great for value,"October 29, 2019",the United States
652,5.0,Works as expected,Works as expected,"October 27, 2019",the United States
653,5.0,Great deal,This calculator is the one my daughter needed for 6th grade this year. I like it because it's a great price and my daughter likes it because it comes in different colors. This is a great buy for us.,"September 25, 2014",the United States
654,5.0,as shown,as described,"October 4, 2019",the United States
655,5.0,Easy to use,Just as described.,"September 6, 2019",the United States
656,5.0,"Good calculator, but you need to know how to use it",A good calculator with many functions. I would suggest watching a video on using this calculator so that you can use it to its fullest potential.,"February 24, 2017",the United States
657,5.0,Easy and simple for college accounting and finance class,Works great for my accounting and finance exams,"May 15, 2020",the United States
658,5.0,This is a great everyday user calculator for a better price than you ...,This is a great everyday user calculator for a better price than you can get in stores.  I keep this one on my desk at work and use it daily.  Just bought one for my daughter to use in 7th grade.,"August 28, 2014",the United States
659,5.0,Great calculator for chemistry,I mean it’s a calculator so there’s not much to review on it but it’s really easy to use and comes with very detailed instructions,"September 18, 2019",the United States
660,5.0,Fantastic Calculator,I've been using this calculator for years and I love it. I recently bought a new one because I spilled melted sugar on my old one and the buttons on it stopped working (but understandably so)...,"February 10, 2016",the United States
661,5.0,Can't believe that I had to purchase this for our ...,Can't believe that I had to purchase this for our teenager for school ....but it's getting the job done.,"February 21, 2018",the United States
662,5.0,Its pink and handy,Very useful. I bought it for my son and he said he doesn't mind the color because his math is getting hards and pink is just a color.,"May 8, 2017",the United States
663,5.0,Works like it should,I got it because of the color. It works for my statistics class.,"January 9, 2019",the United States
664,5.0,Great Device!,I love this calculater. Got this for college Alegbra and it does wonderfully.,"September 13, 2018",the United States
665,5.0,Calculator,Great price cheaper than in store,"December 5, 2019",the United States
666,5.0,Great calculator; misleading picture/description,"I love this calculator and recommend it to any one needing a scientific calculator.  However, I am disappointed that it is not the color shown in the picture.  It is listed as ""Black"" and the picture shows this, but I was clearly sent a ""dark blue"" or ""navy blue"" calculator.  I specifically ordered this for the color and am displeased by the misleading description and picture.","July 25, 2013",the United States
667,5.0,TI-30X fro Trig,Reliable calculator for all purposes.  My son uses it for his math class and said his teacher recommened it.  He seems to like and it works for Triganometry.,"June 6, 2016",the United States
668,5.0,Awesome 👌,Great item worth every penny!!!,"April 24, 2020",the United States
669,5.0,For 7th Grader,My daughter's teacher requested this calculator for her math class. It is easy to use and read the screen. Value worth what I spent. I'm very pleased.,"December 20, 2020",the United States
670,5.0,A must-have in any backpack or toolbag. Very light ...,A must-have in any backpack or toolbag.  Very light and has nearly everything you could need.  Solar panel on top means battery will probably never need to be replaced.,"February 13, 2016",the United States
671,5.0,For school,Bought for my child. No complaints so far,"November 16, 2019",the United States
672,5.0,Great price compared to other places!,"Purchased this for our son for school. Great price, &amp; has worked great.","October 20, 2018",the United States
673,5.0,Accuracy is good. Keypad is great even after 6 years of ...,Works as advertised. Have nothing to complain. Accuracy is good. Keypad is great even after 6 years of moderate use. No complaints with the screen. Till now the screen has no scratched and the display is also good. Good reliable product.,"September 6, 2015",the United States
674,5.0,A is for Algebra,"Less money than the stores around here, but my son has hardly used it. So was it worth the purchase? I don't know. At least he has an A in Algebra.","November 10, 2016",the United States
675,5.0,It's Good.,It's Good.,"October 1, 2019",the United States
676,5.0,Great for basic scientific work,This is a great item for basic scientific calculations. It does not do all the functions of the somewhat higher models in the product line but meets my needs just right. And a great bargain at less than $13.,"December 17, 2012",the United States
677,5.0,big fan of TI's,nothing to dislike. already a big fan of TI since childhood.,"October 28, 2021",the United States
678,5.0,Love this calculator,Love this calculator.  Needed one for a college class and loved that I could add some color to my supplies.  It works great too,"May 11, 2017",the United States
679,5.0,great price,great item,"November 4, 2019",the United States
680,5.0,She loves the color. Too bad she never used it! 🤣,Her teacher made us get it and she never used it. Oh well!  It works well in the House!,"June 11, 2018",the United States
681,5.0,Was well priced and has the protective plastic case so that helps lengthen the life in a busy house like ours.,Working well for our two high schoolers.  Would buy again. Was well priced and has the protective plastic case so that helps lengthen the life in a busy house like ours.,"December 14, 2015",the United States
682,5.0,Perfect for those in high school or even getting into ...,Product is well made and you should expect no less from Texas instruments. Perfect for those in high school or even getting into college mathmatics.,"January 16, 2018",the United States
683,5.0,Is what it says...,"I used this for the appropriate algebra courses and more. It's a fine device, and worth whatever reasonable price. I had to upgrade to the Ti-84 before learning how to only use a fraction of the Ti-30 capabilities.","January 9, 2014",the United States
684,5.0,Great price,Great price.,"September 12, 2019",the United States
685,5.0,Good for HS Math,This is one of the best calculators for a high school math class. This is the calculator I recommend to my students.,"December 21, 2019",the United States
686,5.0,Great product,I love TI calculators. This will be perfect for my daughter that is in 7th grade,"July 26, 2018",the United States
687,5.0,Good.,It works fine.,"April 16, 2020",the United States
688,5.0,Works great,Works great for my daughter in school and cheaper than target!!,"October 21, 2018",the United States
689,5.0,Good value,Good calcular with nice features for the cost. I wish it was easier to delete one character mid problem without deleting everything after that character too.,"December 11, 2019",the United States
690,5.0,Great buy...,Great buy for my teenager. I was shocked as this calculator looks almost the same and has alot of the same functions as my $150 scientific calculator i bought for college. It is very nice for the price!,"March 6, 2015",the United States
691,5.0,better than Casio,"Build quality is way better than the Casio fx-115es...buttons are precise, not 'flimsy' as with the Casio...it feels substantial, like it's made to last 20 years.","August 6, 2016",the United States
692,5.0,Great value,Great value!  I bought 2.  They were in original packaging and work well.,"September 12, 2018",the United States
693,5.0,Best price anywhere,Was required item for school this year for my 7th grader. Best price anywhere.,"August 3, 2018",the United States
694,5.0,It works.,I bought this so my son would have the same calculators they use at school for homework. No complaints. It adds and does all sorts of math things as required.,"May 3, 2016",the United States
695,5.0,For ACS test!,"Works as described, purchased for ACS Exams.","June 8, 2019",the United States
696,5.0,Girls and math...Yeah!,My teenage daughter started using the calculator as soon as it arrived...loves the color. Girls and math...Yeah!,"August 13, 2017",the United States
697,5.0,Calculator TI30x,Calculator is perfect for the high schooler who has a diverse class load - it has a myriad of uses for different classes from science to math. It covers more bases than the other calculators and is very hard to break.,"October 24, 2010",the United States
698,5.0,It works perfect no issues and you can't beat the price,I don't know how ibwoukd get through math class without this item. It works perfect no issues and you can't beat the price.,"February 3, 2018",the United States
699,5.0,Fantastic product,My daughter was so scared to use this going into the 7th grade but she now loves it! Especially the fact that it was pink. I would highly recommend this calculator to anyone! Super fast delivery as well! Also was quite cheaper than buying one in a store!,"July 20, 2018",the United States
700,5.0,Favorite calculator,Easy to use and compact,"June 19, 2019",the United States
701,5.0,Standard calculator will buy again,Great quality and durability bought it as a gift,"January 13, 2019",the United States
702,5.0,Customer service great,Thank you for shipping out missing one so fast.Good Quality,"July 27, 2019",the United States
703,5.0,Second-hand review,"Bought this for a 50+ year old surveyor/engineer whose last calculator was worse than an abacus.Although he's very confused, he can do everything he needs a scientific to do and he learns more.","April 21, 2013",the United States
704,5.0,Good buy,My son needed for his class which worked great.,"January 25, 2019",the United States
705,5.0,Must have for college algebra,Great price,"October 26, 2019",the United States
706,5.0,Great product!,Daughter uses it for 9th grade math. No complaints. Easy to use.,"December 22, 2019",the United States
707,5.0,"My daughter loved the pink color, works for everything she needs in 6th grade!","Beautiful pink color, great value for the money and works great!","November 18, 2018",the United States
708,5.0,No batteries!,"Love this little calculator.....small, compact, and no need to worry about batteries!","August 16, 2018",the United States
